EmpID,Location,Gender,Level,Date Of Joining,Overall Rating,Career Growth,Compensation and Benefits,Work-life Balance,Comments
a80b31x692,LocD,Women,Senior,11-May-20,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,I didn't felt anything dislike till now
a82b85x613,LocB,Men,Junior,07-Nov-18,Satisfied,Dissatisfied,Dissatisfied,Neutral,Good company
a81b04x691,LocB,Men,Middle,01-Jun-17,Satisfied,Satisfied,Very Satisfied,Satisfied,"Nothing except no one’s gives a toss who, what and how you are."
a80b59x668,LocB,Women,Junior,05-Feb-20,Satisfied,Neutral,Dissatisfied,Satisfied,"Its okay , not that much good"
a80b83x695,LocG,Women,Middle,06-Apr-19,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Fully permanent job
a81b13x687,LocG,Men,Middle,11-Dec-22,Satisfied,Satisfied,Neutral,Very Satisfied,Work environment is good but don't expect any annual increment here.
a80b97x680,LocG,Women,Middle,26-Dec-16,Neutral,Very Satisfied,Very Dissatisfied,Satisfied,Company culture is good and employees needs are taken into priority. They give opportunities to learn
a80b80x610,LocE,Women,Middle,07-Nov-22,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,No likes totally disappointed
a80b72x615,LocB,Women,Junior,15-Jun-05,Satisfied,Very Satisfied,Neutral,Very Satisfied,"The increament percentage is very low, attrition rate is very high"
a80b87x677,Remote,Women,Junior,20-Dec-11,Very Satisfied,Very Satisfied,Neutral,Satisfied,"Work life balance, job security"
a81b56x694,LocA,Men,Middle,12-Jan-24,Satisfied,Neutral,Satisfied,Neutral,Good
a80b71x627,LocA,Women,Middle,04-Jan-24,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,"If you are joining as a fresher, I'll suggest to avoid. The company terribly lacks projeCompanyB and has bench period of over a year."
a80b48x624,LocF,Women,Middle,01-Jul-05,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Getting lot of opportunities to prove myself in my job role...
a81b58x641,LocG,Women,Junior,16-Nov-16,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Nothing to dislike
a81b63x671,LocB,Men,Junior,11-Jul-06,Satisfied,Neutral,Very Dissatisfied,Satisfied,"vn,"
a80b90x670,LocB,Women,Junior,26-Feb-08,Neutral,Neutral,Neutral,Neutral,Salary
a81b78x606,LocD,Men,Junior,30-Mar-24,Satisfied,Very Satisfied,Satisfied,Satisfied,"Work culture, company policies"
a81b24x616,LocC,Men,Junior,04-Aug-12,Satisfied,Satisfied,Dissatisfied,Neutral,Work culture and management behaviour when an employee sent to client place..CompanyX is not bothered about employees.
a82b87x653,LocF,Men,Junior,17-Dec-19,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,"apart from wfh, nothing is provided"
a81b54x667,Remote,Men,Junior,03-Apr-11,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,"Nothing .....
."
a81b05x623,LocG,Women,Middle,20-Feb-19,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,"CompanyX is excellent Company where i spent 15 years.
Work Culture, Job security, management and company policies are excellent. i would like to rejoin my organization if open positions."
a80b93x620,LocF,Women,Junior,10-Mar-19,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Good  company management good great future
a81b68x650,LocC,Men,Junior,26-Oct-15,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,None
a80b82x696,LocC,Women,Senior,04-Jul-16,Satisfied,Very Satisfied,Neutral,Satisfied,"If you're lucky, you may find some of the best mentors over here."
a81b95x655,Remote,Men,Middle,20-Dec-12,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Nothing that I disliked
a80b85x649,LocG,Women,Senior,02-Jul-22,Satisfied,Satisfied,Satisfied,Very Satisfied,"Good work life balance.
Positive team culture.
Good people to work with."
a81b97x652,LocA,Men,Middle,11-Dec-05,Satisfied,Satisfied,Satisfied,Satisfied,Good team support
a82b08x605,LocD,Men,Junior,28-Mar-16,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Nothing interesting simply you need to work at client location and end of year no visibility
a80b36x693,LocG,Women,Senior,05-Nov-22,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Everything
a82b13x665,LocC,Women,Junior,14-Aug-21,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Salary
a81b26x692,LocD,Men,Junior,20-Jan-05,Satisfied,Satisfied,Very Dissatisfied,Dissatisfied,Work environment is good. Managers are supportive. Travel facilities provided during emergency situations is helpful to whatever extent it is provided.
a81b92x655,LocC,Women,Middle,23-Jul-09,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Everything including partiality and hypocrisy.
a82b94x630,LocA,Men,Junior,19-May-20,Satisfied,Satisfied,Neutral,Neutral,Job security is very good
a82b05x650,LocB,Men,Junior,06-Dec-20,Neutral,Dissatisfied,Neutral,Neutral,It's all dipend on your client for which y ou will be working in Lbs unit.
a80b22x641,LocC,Women,Middle,24-Apr-11,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,"Work culture, skill development."
a80b02x643,Remote,Women,Middle,28-Jan-06,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Great company and good person around
a80b12x688,LocB,Women,Junior,17-Oct-18,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Work culture
a81b97x626,LocG,Women,Middle,30-Aug-14,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,All good
a80b66x672,LocF,Men,Junior,11-May-19,Very Satisfied,Satisfied,Satisfied,Satisfied,You will learn a lot in technical field.
a80b28x624,LocB,Women,Senior,18-Jan-08,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Work-life balance and opportunities are good
a80b57x662,Remote,Men,Middle,19-Feb-24,Very Satisfied,Satisfied,Neutral,Satisfied,Nice place to work
a81b55x630,LocD,Men,Middle,14-Jul-12,Neutral,Satisfied,Neutral,Satisfied,Nothing
a80b71x629,LocG,Men,Middle,24-May-15,Neutral,Neutral,Neutral,Satisfied,Work life balance
a80b12x634,LocC,Women,Junior,17-Aug-22,Satisfied,Neutral,Dissatisfied,Very Satisfied,"Work-life balance, learning opportunities are good"
a82b95x683,LocB,Men,Junior,29-Mar-14,Very Satisfied,Neutral,Neutral,Satisfied,Management
a82b26x635,LocA,Women,Junior,29-Nov-06,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,less hike
a81b88x697,LocB,Women,Middle,25-Dec-17,Satisfied,Very Satisfied,Neutral,Satisfied,Nothing much
a82b81x699,LocA,Men,Junior,12-Aug-22,Satisfied,Satisfied,Satisfied,Satisfied,Nothing
a81b87x663,LocC,Men,Middle,19-Apr-20,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,People and work culture
a80b24x647,Remote,Women,Junior,17-Dec-23,Neutral,Satisfied,Neutral,Satisfied,Work life balance
a80b38x644,LocB,Women,Senior,18-Dec-20,Satisfied,Neutral,Neutral,Satisfied,Hybrid work
a81b33x660,LocE,UD,Senior,23-Feb-21,Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Good
a81b81x692,LocG,Men,Junior,22-Sep-08,Very Satisfied,Very Satisfied,Dissatisfied,Satisfied,Very good work environment
a80b96x614,LocG,Women,Junior,08-Feb-05,Neutral,Dissatisfied,Very Dissatisfied,Satisfied,"Based on my current Project, work life Balance seems to be good"
a80b79x683,LocG,Women,Middle,02-Mar-10,Very Satisfied,Satisfied,Very Satisfied,Satisfied,People and work environment is best
a81b64x674,LocG,Men,Junior,28-Apr-21,Satisfied,Satisfied,Neutral,Very Satisfied,Nothing just sucking blood of their employees
a82b32x624,LocG,Women,Junior,14-Nov-22,Satisfied,Satisfied,Satisfied,Satisfied,Appraisal not good
a80b21x652,LocD,Women,Middle,01-Feb-05,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Provides courses for the employees.
a80b11x689,LocB,Women,Junior,03-Dec-10,Neutral,Neutral,Dissatisfied,Dissatisfied,job security is good than others
a81b78x664,LocB,Women,Junior,29-Dec-15,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,CompanyX gave me a good platform to perform and build my carrier in accounting field it was an amazing
a81b33x651,LocD,Men,Senior,04-Jul-07,Satisfied,Satisfied,Neutral,Very Satisfied,0
a80b72x625,LocB,Women,Middle,29-Sep-11,Dissatisfied,Very Dissatisfied,Dissatisfied,Neutral,Very Political and does micro management to extreme level and ate super partial
a81b68x612,LocF,Men,Junior,15-Jan-21,Satisfied,Neutral,Neutral,Neutral,Current management are very narrow minded towards employee relationship.
a80b17x681,Remote,Women,Junior,22-Nov-15,Satisfied,Neutral,Neutral,Satisfied,NA i would like to share
a81b58x664,LocC,Men,Junior,08-Jan-07,Neutral,Very Satisfied,Dissatisfied,Satisfied,Ok
a82b92x667,LocC,Men,Junior,27-Jun-22,Satisfied,Satisfied,Neutral,Very Satisfied,No option for work from home
a80b85x665,LocF,Women,Senior,13-Jan-07,Satisfied,Very Satisfied,Satisfied,Very Satisfied,"Good work life balance, nice work culture"
a81b11x694,LocG,Men,Junior,15-Jul-10,Satisfied,Satisfied,Very Dissatisfied,Satisfied,good overall No extra Alowennce given
a80b50x633,LocE,Women,Middle,04-Dec-18,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Everything is good in CompanyX
a80b89x649,Remote,Women,Senior,30-Mar-05,Satisfied,Satisfied,Dissatisfied,Satisfied,"Job security, good team ususally"
a80b56x603,LocF,Women,Junior,18-Feb-22,Satisfied,Satisfied,Neutral,Satisfied,Job security
a81b46x688,LocB,Men,Junior,30-Aug-10,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,They are not having projeCompanyB in NCR related to Testing and development. Management doesn't support you if you say anything. Client  treats you like labour.you don't have any right to do anything.bad appraisal process and hike
a82b80x695,Remote,Men,Junior,23-Jul-18,Very Dissatisfied,Satisfied,Satisfied,Very Satisfied,Work life balance
a80b85x608,LocF,Women,Senior,18-May-13,Satisfied,Satisfied,Neutral,Satisfied,It is great to start company for freshers. Great training programs provided by Company.
a82b85x633,LocF,Women,Junior,17-May-12,Satisfied,Very Satisfied,Satisfied,Very Satisfied,"Team mates,career growth,work balance"
a82b17x693,LocF,Men,Junior,21-Mar-18,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,"CompanyX India especially Mumbai works with a different approach, not as a global company. Work standards are poor. Management is incapable and inefficient. Company lacks quality resources and is loosing available good resources."
a80b20x691,LocA,Women,Senior,08-Jul-19,Satisfied,Satisfied,Satisfied,Satisfied,All is good as of now
a81b13x600,LocC,UD,Middle,06-May-16,Very Dissatisfied,Very Satisfied,Dissatisfied,Satisfied,0
a81b01x676,LocD,Women,Junior,15-May-18,Satisfied,Satisfied,Satisfied,Satisfied,Nothing
a82b89x635,LocA,Men,Junior,03-Dec-22,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Nothing
a81b24x697,LocE,Men,Senior,13-Oct-10,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Worst company to work and here all politics will come.
a82b04x669,LocA,Men,Junior,17-Apr-12,Neutral,Neutral,Dissatisfied,Satisfied,Freedom to think and work.
a82b34x630,LocB,Men,Junior,05-Feb-19,Neutral,Satisfied,Satisfied,Very Satisfied,When we talk about salary/appraisal which is not at all as per the market standards. Opportunities are very limited inside the Orgn. It has bad and expensive cafeteria.
a82b37x653,LocC,Men,Junior,12-Mar-05,Very Satisfied,Neutral,Neutral,Neutral,All working days
a82b01x631,LocE,Men,Junior,20-Nov-21,Neutral,Very Dissatisfied,Neutral,Neutral,Drop Facility
a81b95x695,Remote,Women,Junior,30-May-09,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Good company working and understanding
a80b70x692,LocG,Men,Middle,21-Mar-22,Satisfied,Satisfied,Neutral,Very Satisfied,Don't work here as a fresher.
a81b51x681,LocA,Men,Junior,12-Nov-15,Dissatisfied,Dissatisfied,Very Dissatisfied,Neutral,Reskilling not possible
a80b40x678,LocE,Women,Middle,25-Mar-19,Satisfied,Very Satisfied,Neutral,Satisfied,I'm so happy to be a part CompanyX house
a80b93x652,LocF,Women,Middle,19-Dec-05,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Multiple learning opportunities and platform. Flexibility to work in hybrid mode.
a80b07x671,LocB,Women,Junior,17-Jan-08,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Good
a81b15x639,LocA,Men,Middle,29-Dec-07,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,"Growth, salary, culture"
a81b79x641,LocE,UD,Junior,03-Sep-19,Satisfied,Neutral,Dissatisfied,Neutral,TGIM
a81b62x676,LocG,Men,Junior,02-Apr-22,Neutral,Satisfied,Neutral,Satisfied,"No appraisals
Average Salary"
a80b68x686,LocF,Women,Middle,28-Aug-12,Dissatisfied,Dissatisfied,Very Dissatisfied,Satisfied,If you are joining from outside on hafty package then only its worth
a82b18x640,LocC,Men,Junior,17-Apr-17,Satisfied,Neutral,Neutral,Satisfied,"Compensation is decent, but growth is slow."
a80b92x641,LocG,Women,Junior,16-Sep-18,Dissatisfied,Neutral,Dissatisfied,Neutral,Nothing.
a81b45x605,LocC,Women,Middle,08-Dec-12,Neutral,Dissatisfied,Very Dissatisfied,Neutral,Salary for consulting stream
a81b81x665,LocD,Women,Middle,26-Apr-17,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No cons
a81b83x601,LocA,Men,Middle,04-Feb-08,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,"Great project.
Good exposure."
a80b61x689,LocA,Men,Junior,14-Jul-07,Neutral,Neutral,Dissatisfied,Satisfied,"If you are in right project, then there is work life balance."
a82b88x645,LocB,Men,Junior,08-Mar-15,Satisfied,Satisfied,Satisfied,Satisfied,Benefits are not expected
a81b52x630,LocD,Men,Junior,09-May-08,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Hikes not good
a82b04x613,LocD,Women,Junior,18-Jun-20,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Not good
a81b61x697,LocF,Men,Junior,17-Aug-09,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,"In this Covid-19 Situation now HR asking to keep the resignation not arranging any project interview, but every day the HR will keep on mail you kept the paper they not able to understand right now the situation. we so many people got put resignation also. their job only their resignation of an employee."
a82b96x665,LocG,Men,Junior,26-Jul-15,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,This company is a MNC company and cares about of employees.
a80b04x658,LocB,Women,Middle,05-Dec-24,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Nothing to say so not applicable
a80b06x633,LocE,Women,Senior,30-Aug-12,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Work-Life Balance
a82b19x634,LocA,Women,Junior,14-Oct-22,Satisfied,Satisfied,Dissatisfied,Neutral,The work culture is excellent. But the RMG is not quite efficient to provide oppertunities internally as after finishing one assignment over an year or so its tough to learn new technology and get training. The culture and job satisfaction after aquiring Igate has been diminished drastically but as my first company i always like it from the core.
a80b09x692,LocA,Women,Middle,05-May-17,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Bench employees are safe
a81b02x618,LocD,Women,Middle,03-Apr-12,Very Satisfied,Satisfied,Neutral,Satisfied,Work life balance
a80b74x650,LocG,Men,Middle,06-Mar-23,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,"Work-life balance, Work hour flexibility"
a81b16x634,LocB,Women,Junior,18-May-17,Neutral,Neutral,Satisfied,Satisfied,Good work life balance
a80b59x637,LocE,Women,Junior,24-Jan-15,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Get free learning apps from company.
a81b92x675,LocE,Women,Middle,18-Jun-06,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,No learning/growth
a81b73x698,LocC,Men,Junior,22-Oct-13,Very Satisfied,Satisfied,Satisfied,Satisfied,Good place to work   provides other training which is more needed ex soft skill
a81b16x676,LocA,Women,Middle,02-Jun-20,Neutral,Dissatisfied,Very Dissatisfied,Dissatisfied,No growth
a81b97x687,LocC,Women,Middle,25-Mar-17,Neutral,Neutral,Neutral,Satisfied,they provide training if it required
a80b81x687,LocA,Women,Senior,23-Jan-21,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Nothing
a81b42x608,LocD,Men,Junior,10-Jun-06,Satisfied,Very Satisfied,Neutral,Very Satisfied,Internal growth
a80b15x620,LocE,Women,Middle,10-Jan-18,Dissatisfied,Dissatisfied,Very Dissatisfied,Neutral,Nothing is good here
a81b79x621,LocC,Men,Junior,10-Sep-17,Dissatisfied,Neutral,Neutral,Neutral,0
a82b95x601,LocD,Men,Junior,29-May-16,Satisfied,Very Satisfied,Very Satisfied,Neutral,Nothing
a80b95x650,LocG,Women,Middle,13-Feb-22,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,There is nothing to say
a80b52x683,LocE,Women,Middle,11-Mar-09,Very Satisfied,Satisfied,Neutral,Satisfied,Everything is good in this company.
a80b01x671,LocA,Women,Senior,09-Aug-06,Very Satisfied,Satisfied,Neutral,Very Satisfied,"No words. There are many platform to learn the languages, code, etc. Kaligs and leaders are always there like Friend. The total nature of Cg companies is one of the best ."
a81b56x625,LocG,Men,Junior,11-Mar-23,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Hike
a82b15x672,LocD,Men,Junior,30-Apr-06,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,0
a80b30x635,LocG,Women,Senior,14-Jun-09,Satisfied,Satisfied,Neutral,Satisfied,Nil
a82b05x668,Remote,Men,Junior,12-Mar-08,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,0
a81b41x634,LocB,Women,Junior,08-Oct-20,Satisfied,Satisfied,Neutral,Satisfied,Work culture and job security
a80b32x663,LocA,Women,Senior,04-Feb-23,Very Satisfied,Very Satisfied,Neutral,Satisfied,Here we have lot of things to learn in the career path and knowledge wise.
a81b09x601,LocF,Men,Middle,30-Jan-07,Satisfied,Satisfied,Satisfied,Satisfied,Friendly nature and work-life balance
a81b53x612,LocG,UD,Junior,21-Jun-22,Satisfied,Satisfied,Neutral,Neutral,0
a81b47x686,LocD,Men,Junior,04-Dec-16,Very Satisfied,Satisfied,Satisfied,Neutral,Lot of work pressure
a80b44x622,LocD,Women,Junior,26-Dec-16,Very Satisfied,Very Satisfied,Neutral,Satisfied,Good
a81b11x658,LocG,Women,Middle,12-Jan-22,Satisfied,Neutral,Neutral,Neutral,The online training  provide by CompanyX  and given to opportunities  to do higher education  continue with job
a82b05x665,LocF,Men,Junior,08-Feb-20,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Good
a80b52x603,LocA,Women,Middle,21-May-13,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,I have joined as a fresher and CompanyX has really helped me grow a lot in terms of skills .
a82b94x606,Remote,Men,Junior,01-Apr-08,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Management is pathetic right from the senior level to the mid level
a81b13x670,LocG,Men,Middle,29-Jan-05,Neutral,Satisfied,Satisfied,Satisfied,0
a82b07x629,LocB,Men,Junior,15-Jul-06,Satisfied,Neutral,Dissatisfied,Satisfied,Nothing as such .
a82b90x603,LocD,Men,Junior,09-Jul-13,Very Satisfied,Satisfied,Satisfied,Satisfied,I like the job security and the fact that we have a politics free work environment here. Salary/appraisal are completely based on individual's performance.
a81b20x605,LocB,Men,Middle,28-Dec-23,Neutral,Very Satisfied,Satisfied,Satisfied,Never like to work
a81b17x639,LocD,Men,Junior,30-Mar-11,Neutral,Neutral,Very Dissatisfied,Neutral,Best work culture and work life balance.
a81b06x661,LocC,Men,Junior,12-Feb-24,Satisfied,Satisfied,Satisfied,Satisfied,No communication between teams
a82b90x613,Remote,Women,Junior,11-Aug-12,Satisfied,Very Satisfied,Satisfied,Satisfied,"CompanyX is the best place to work if you want to settle down for life. The work culture is so comfortable and transparent, that there is no boss, no employee, everyone has the right to raise their concerns to people who will act accordingly. My career growth with ref. to technology and work process has been very much developed here. One thing to admired is that Process it given the highest priority and thanks to CompanyX I’m very much aware of the Process (ITIL process). Along with work, extra curricular activities were also a major part of professional development of the employee....Read More"
a80b43x677,LocC,Women,Middle,12-Nov-11,Satisfied,Satisfied,Dissatisfied,Satisfied,I wish to be part of CompanyX family in near future. ProjeCompanyB are good but management is good only before you put down the paper.
a82b25x663,Remote,Men,Junior,07-Apr-06,Very Satisfied,Satisfied,Satisfied,Very Satisfied,"People don't know how to be Professional at work and immature bunch of people. No learning curve and even if they do, the employees are restricted due to Project dependencies. Zero Work life balance. As usual Office politics."
a81b93x610,LocB,Men,Middle,22-Apr-08,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes
a81b64x615,LocB,Men,Junior,05-Sep-22,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,0
a80b98x610,LocC,Women,Senior,01-Oct-18,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Good policies.
a80b39x682,LocE,Women,Junior,12-Sep-10,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Satisfied,Work life balance
a80b33x601,LocA,Women,Junior,05-Jan-07,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Good Work
a82b25x610,LocE,Men,Junior,13-Aug-13,Satisfied,Satisfied,Dissatisfied,Satisfied,"The work life balance was always a question mark here and also the Hike Structure ,recognition is at 0 Level."
a82b00x679,LocA,Men,Junior,09-Aug-05,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Do have gym along with indoor and outdoor game and the location was good
a82b01x661,Remote,Men,Junior,07-Mar-21,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Wrist management and no value for employee.. No security for job.. Any time they will fire without any info
a80b75x610,LocC,Men,Middle,17-Dec-07,Satisfied,Neutral,Neutral,Satisfied,Work pressure and over timing
a81b61x618,LocD,Men,Junior,10-Jul-21,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Healthy environment
a81b18x658,LocG,Men,Junior,04-May-08,Satisfied,Very Satisfied,Very Satisfied,Satisfied,bench
a81b24x673,LocB,Men,Middle,08-Nov-17,Satisfied,Satisfied,Satisfied,Neutral,Career growth
a81b31x631,LocC,Men,Middle,20-Apr-12,Neutral,Neutral,Dissatisfied,Neutral,0
a82b97x609,LocE,Men,Junior,10-May-23,Satisfied,Satisfied,Neutral,Neutral,Work from home policy is present
a80b62x645,LocC,Women,Middle,14-Sep-10,Neutral,Neutral,Neutral,Satisfied,Nothing much to say about working.
a80b42x665,Remote,Women,Middle,22-Jun-16,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,In CompanyX if you want to learn new technology you have complete freedom for it. Organization is willing to pay for it too. So for freshers or for learners who want to build a good resume and learn new skills CompanyX is best for you
a81b37x663,LocE,Men,Middle,06-Jul-09,Dissatisfied,Neutral,Very Dissatisfied,Satisfied,0
a80b27x600,LocG,Women,Middle,01-Sep-23,Satisfied,Neutral,Dissatisfied,Satisfied,"CompanyX is good company to work, has comparatively better job security and provides good learning capabilities."
a81b13x629,LocB,Men,Middle,27-Jun-13,Neutral,Dissatisfied,Neutral,Dissatisfied,Managers and micromanagement is at peak here.
a81b88x638,LocE,Men,Middle,20-Oct-19,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent
a81b23x655,LocE,Men,Junior,26-Jun-21,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,My work environment
a82b35x607,LocA,Men,Junior,29-Nov-15,Neutral,Satisfied,Neutral,Satisfied,Best company
a82b87x643,LocG,Men,Junior,23-Nov-10,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,I don't have dislikes
